HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set,HBA
14859573,C[N+](C)(CCO)CI.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,QTKWCDOGFSRVGS-UHFFFAOYSA-M,C5H13I2NO,356.97,26.09182844,7.04479368,no mp data,72.34479368,92,,2-Hydroxyethyl-(iodomethyl)-dimethylazanium;iodide
16217607,C[N+](C)(C)C.[Br-],True,"['H301', 'H315', 'H319', 'H335']",145,71,39.05,0,100.0,18.0,DDFYFBUWEBINLX-KXWZVCIVSA-M,C4H12BrN,166.12,56.06790272,15.13833373,no mp data,72.18833373,93,,Tetramethyl-d12-ammonium bromide
10861601,CCCCCCCCCCCC[N+](C)(C)CCCCl.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FCQSEXGTTIULLO-UHFFFAOYSA-M,C17H37BrClN,370.8,25.11866235,6.782038835,no mp data,72.08203883,94,,"N-(3-Chloropropyl)-N,N-dimethyl-1-dodecanaminium bromide"
70086,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SPALIFXDWQTXKS-UHFFFAOYSA-M,C20H44BrN,378.5,24.60766182,6.644068692,no mp data,71.94406869,95,,Tetrapentylammonium bromide
31280,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],True,"['H302', 'H315', 'H319']",70,86,47.3,0,100.0,18.0,VUFOSBDICLTFMS-UHFFFAOYSA-M,C20H44BrN,378.5,24.60766182,6.644068692,182,71.94406869,95,,Cetyldimethylethylammonium bromide
6285,CC[N+](CC)(CC)CC.[Br-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,HWCKGOZZJDHMNC-UHFFFAOYSA-M,C8H20BrN,210.16,44.31861439,11.96602589,no mp data,71.76602589,97,,Tetraethylammonium bromide
10992774,C[N+](C)(C)CC1=CC=CC=C1.[Br-].BrBr,True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,GSDDWZVWOXMLJZ-UHFFFAOYSA-M,C10H16Br3N,389.95,23.88511348,6.448980639,no mp data,71.74898064,98,,Benzyl(trimethyl)azanium;molecular bromine;bromide
13813470,C[N+](C)(C)CC1=CC=CC=C1.[Br-].[Br-].[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,UZUKVMLVILGNPX-UHFFFAOYSA-K,C10H16Br3N-2,389.95,23.88511348,6.448980639,no mp data,71.74898064,98,,Benzyl(trimethyl)azanium;tribromide
80021,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,ODTSDWCGLRVBHJ-UHFFFAOYSA-M,C24H52ClN,390.1,23.87592925,6.446500897000001,no mp data,71.7465009,100,,Tetrahexylammonium chloride
70708,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SZEMGTQCPRNXEG-UHFFFAOYSA-M,C21H46BrN,392.5,23.72993631,6.407082803,no mp data,71.7070828,101,,Trimethyloctadecylammonium bromide
2724141,CCCC[N+](CCCC)(CCCC)CCCC.[F-],True,"['H314', 'H318', 'H335']",100,80,44.0,0,100.0,18.0,FPGGTKZVZWFYPV-UHFFFAOYSA-M,C16H36FN,261.46,35.62303985,9.61822076,no mp data,71.61822076,102,,Tetrabutylammonium fluoride
16211866,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,QVGHRPSUYBFXLH-UHFFFAOYSA-M,C19H34IN,403.4,23.08874566,6.2339613289999996,no mp data,71.53396133,103,,"N-Benzyl-N,N-dibutylbutan-1-aminium iodide"
16957,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,UMGXUWVIJIQANV-UHFFFAOYSA-M,C22H48BrN,406.5,22.91266913,6.186420664,no mp data,71.48642066,104,,Didecyldimethylammonium bromide
