HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,Environmental Score
84027573,CC(CN1C=CN=C1Br)NC,True,No GHS data available,100,100
84027575,CC(CNC)N1C=CN=C1Br,True,No GHS data available,100,100
84050045,CNCCN1C=NC=C1Cl,True,No GHS data available,100,100
84052908,CNCCN1C=NC=C1Br,True,No GHS data available,100,100
84412542,COCSC1=NC=CN1,True,No GHS data available,100,100
84413668,C1=CN=C(N1)SCCF,True,No GHS data available,100,100
84648849,C1=CN(C=N1)CC(CN)F,True,No GHS data available,100,100
84650613,CC(CSC1=NC=CN1)N,True,No GHS data available,100,100
84731118,C1C(CN1)N2C=CN=C2N,True,No GHS data available,100,100
84731436,C1C(CN1)N2C=CN=C2Cl,True,No GHS data available,100,100
84762062,C1=C(NC(=N1)CF)N,True,No GHS data available,100,100
84762351,C1=C(NC(=N1)C(F)F)N,True,No GHS data available,100,100
84762760,CC(C)(C1=NC=C(N1)N)F,True,No GHS data available,100,100
84762987,CC(C1=NC=C(N1)N)(F)F,True,No GHS data available,100,100
84767736,C1=C(NC(=N1)CF)Br,True,No GHS data available,100,100
84772531,CC(C1=NC=C(N1)Br)F,True,No GHS data available,100,100
84774112,C1=C(NC(=N1)C(F)F)Br,True,No GHS data available,100,100
85537654,C1=CN(C=N1)OCCCN,True,No GHS data available,100,100
85583303,C1=CN=C(N1)NC2=NC=CN=C2,True,No GHS data available,100,100
85583331,C1=CN=C(N1)NC2=CN=CC(=N2)Cl,True,No GHS data available,100,100
85640918,CC(C)CSSC1=NC=CN1,True,No GHS data available,100,100
86308851,CCC(C)SSC1=NC=CN1,True,No GHS data available,100,100
86310815,CCC(C)SSC1=NC=CN1,True,No GHS data available,100,100
86333759,CCCCC(C1=NC=CN1)NC,True,No GHS data available,100,100
86333761,CCCCC(C1=NC=CN1)NC,True,No GHS data available,100,100
1639,C1=NNC(=N1)N,True,"['H361d', 'H373', 'H411', 'H361', 'H316', 'H317', 'H320', 'H372']",245,75
9257,C1=NC=NN1,True,"['H302', 'H319', 'H361d', 'H361', 'H313']",170,0
11432,C1=NN=CN1N,True,"['H302', 'H315', 'H319', 'H335']",120,0
81265,C1=NNC(=N1)Cl,True,"['H302', 'H315', 'H319', 'H335']",120,0
11708047,C1=NN(C=N1)N,True,"['H302', 'H315', 'H319', 'H335']",120,0
575378,CSC1=NC=NN1,True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,0
424513,C1=NN=C(N1N)NN,True,No GHS data available,100,100
139000,C1=NNC(=N1)Br,True,"['H315', 'H319', 'H335']",70,0
55286155,C1=NC2=NN=CN2N1,True,No GHS data available,100,100
2771009,C1=NNC(=N1)NC(=S)N,True,No GHS data available,100,100
567144,C1=NN=C(N1N)N,True,No GHS data available,100,100
566828,CNC1=NC=NN1,True,"['H302', 'H315', 'H319', 'H335']",120,0
445106,C1=NN(C=N1)C(=N)N,True,No GHS data available,100,100
252222,C1=NNC(=N1)NC(=O)N,True,No GHS data available,100,100
71309603,C1=NC=NN1,True,"['H302', 'H319', 'H361']",110,0
45117656,C1=NNC(=N1)F,True,No GHS data available,100,100
21802379,C1=NN(C=N1)CN,True,No GHS data available,100,100
14735953,C1=NC(=NN1N)N,True,No GHS data available,100,100
14735952,C1=NN(C(=N1)N)N,True,No GHS data available,100,100
12576851,CN(C)C1=NC=NN1,True,No GHS data available,100,100
12328592,C1=NNC(=N1)N=C(N)N,True,No GHS data available,100,100
3814939,C1=NNC(=N1)N=NC2=NC=NN2,True,No GHS data available,100,100
2772094,C1=NNC(=N1)I,True,No GHS data available,100,100
541521,CN(C)C=NC1=NC=NN1,True,No GHS data available,100,100
427861,C1=NNC(=N1)NN,True,No GHS data available,100,100
136504597,C1=NN=CN1,True,No GHS data available,100,100
57608540,C1=NC=NN1,True,No GHS data available,100,100
57416250,B(C1=NC=NN1)(O)O,True,No GHS data available,100,100
45785372,C1=NC=NN1,True,No GHS data available,100,100
21766417,COC1=NC=NN1,True,No GHS data available,100,100
19759605,C1=NNC(=N1)N2N=CN=N2,True,No GHS data available,100,100
3763526,CNN1C=NN=C1,True,No GHS data available,100,100
