HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK
3390511,C1=CC(=CC=C1CC(=O)O)S,TRUE,"['H315', 'H318', 'H319', 'H335']",95,89.08045977,48.99425287,0,100,18,ORXSLDYRYTVAPC-UHFFFAOYSA-N,C8H8O2S,168.21,35.69942334,9.638844302,no mp data,76.63309718,1696
22828754,CCCCCOC1C(C(C(C(O1)CO)O)O)O,TRUE,"['H315', 'H318', 'H319']",45,94.82758621,52.15517241,0,100,18,RYIWDDCNJPSPRA-YBTJCZCISA-N,C11H22O6,250.29,23.99216908,6.477885653,no mp data,76.63305807,1697
16217341,CCCCCCCCCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,POULHZVOKOAJMA-KHWBWMQUSA-N,C12H24O2,201.31,29.82961602,8.053996324,no mp data,76.62870897,1698
12227349,CCCCCCCCCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,POULHZVOKOAJMA-HNHCFKFXSA-N,C12H24O2,201.31,29.82961602,8.053996324,no mp data,76.62870897,1698
71312534,CCCCCCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O,TRUE,['H319'],10,98.85057471,54.36781609,0,100,18,PUNOCEUUYUXUGR-AUZVCRNNSA-N,C25H44O2,380.6,15.77771939,4.259984235,no mp data,76.62780033,1700
13208922,C1=CC=C(C=C1)CCOCC(=O)O,TRUE,"['H315', 'H318', 'H335']",85,90.22988506,49.62643678,0,100,18,JZTWVOXVRHTACR-UHFFFAOYSA-N,C10H12O3,180.2,33.32408435,8.997502775,no mp data,76.62393956,1701
10130222,COC(CC1=CC=CC=C1)C(=O)O,TRUE,"['H315', 'H318', 'H335']",85,90.22988506,49.62643678,0,100,18,VOAUBXLCHZVCPI-UHFFFAOYSA-N,C10H12O3,180.2,33.32408435,8.997502775,no mp data,76.62393956,1701
35960,COC1=CC(=CC(=C1O)OC)C=C,TRUE,"['H315', 'H318', 'H335']",85,90.22988506,49.62643678,0,100,18,QHJGZUSJKGVMTF-UHFFFAOYSA-N,C10H12O3,180.2,33.32408435,8.997502775,no mp data,76.62393956,1701
819305,C1=C(C=C(C=C1Cl)Cl)CCC(=O)O,TRUE,"['H302', 'H319']",60,93.10344828,51.20689655,0,100,18,GQICJNXGCGRFBA-UHFFFAOYSA-N,C9H8Cl2O2,219.06,27.41258103,7.401396878,no mp data,76.60829343,1704
108756,CC1=CC(=C(C(=C1CC#N)C)O)C(C)(C)C,TRUE,['H411'],0,100,55,75,78.57142857,14.14285714,OUKJZHRCKQJXSU-UHFFFAOYSA-N,C14H19NO,217.31,27.63333487,7.461000414,no mp data,76.60385756,1705
2774098,C1=CC=C(C=C1)C(C(C(=O)O)O)(F)F,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,JCELIJYTLDZTOR-UHFFFAOYSA-N,C9H8F2O3,202.15,29.70566411,8.02052931,no mp data,76.59524195,1706
269945,C(CC(=O)CCCC(=O)O)CC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,GTCHZEFRDKAINX-UHFFFAOYSA-N,C9H14O5,202.2,29.6983185,8.018545994,no mp data,76.59325864,1707
5192,C(CCCCC(=O)O)CCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,CXMXRPHRNRROMY-UHFFFAOYSA-N,C10H18O4,202.25,29.69097651,8.016563659,130.8,76.5912763,1708
15102296,C1CCC(=C(C1)C2=CC=CC=C2)C(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,OSDFYCJQRZZRQZ-UHFFFAOYSA-N,C13H14O2,202.25,29.69097651,8.016563659,no mp data,76.5912763,1708
77237,C(CCCCCO)CCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,KNRCBASNXNXUQQ-UHFFFAOYSA-N,C11H22O3,202.29,29.68510554,8.014978496,65.5,76.58969114,1710
71308916,CCCCCCCCCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,POULHZVOKOAJMA-WVMORIOASA-N,C12H24O2,202.3,29.68363816,8.014582304,no mp data,76.58929495,1711
16217355,CCCCCCCCCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,POULHZVOKOAJMA-ALQHTKJJSA-N,C12H24O2,202.3,29.68363816,8.014582304,no mp data,76.58929495,1711
595,C(C(C(=O)O)N)SSCC(C(=O)O)N,TRUE,['H302'],50,94.25287356,51.83908046,0,100,18,LEVWYRKDKASIDU-UHFFFAOYSA-N,C6H12N2O4S2,240.3,24.98959634,6.747191011,Units uncertain,76.58627147,1713
2773686,CC1=C(C(=C(C=C1)F)CC(=O)O)Cl,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,IZLFHWYEGHXIRN-UHFFFAOYSA-N,C9H8ClFO2,202.61,29.63822121,8.002319728,no mp data,76.57703237,1714
13751966,C=CCC=CCC=CCCCCCCCC1=C(C(=CC=C1)O)O,TRUE,['H317'],25,97.12643678,53.41954023,0,100,18,RUWDFSXBACIZCV-UTOQUPLUSA-N,C21H30O2,314.5,19.09379968,5.155325914,no mp data,76.57486614,1715
262234,COC1=C(C=CC(=C1)Br)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,WHSIIJQOEGXWSN-UHFFFAOYSA-N,C7H7BrO2,203.03,29.57690982,7.98576565,no mp data,76.56047829,1716
11019958,COC1=C(C(=CC=C1)Br)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,WEUFQISIJPSTBM-UHFFFAOYSA-N,C7H7BrO2,203.03,29.57690982,7.98576565,no mp data,76.56047829,1716
